00:10:49 Two Pair [6♠, 6♣, 3♠, 3♦, 2♥] scoring=[6♠, 6♣, 3♠, 3♦](4) | base: 20/2 | pre-joker: 38/10.0 | jokers: [Jolly Joker(x1.80)] | final: 38/18.0 | enhs=[] seals=[] eds=[] | blind=The Hook ante=1 hands_left=4 | est=684 actual=1140 MISMATCH(diff=+456)
00:15:16 Full House [7♠, 7♣, 7♦, 3♠, 3♥] scoring=[7♠, 7♣, 7♦, 3♠, 3♥](5) | base: 115/10 | pre-joker: 142/22.5 | jokers: [Obelisk(x1.73), Madness(x5.50)] | final: 142/214.5 | enhs=[] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=5 | est=30459 actual=18744 MISMATCH(diff=-11715)
00:15:21 Pair [10♠, 10♥, 9♥, 5♣, 4♣] scoring=[10♠, 10♥](2) | base: 130/10 | pre-joker: 150/15.0 | jokers: [Obelisk(x1.67), Madness(x5.50)] | final: 150/137.5 | enhs=[] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=3 | est=20625 actual=16500 MISMATCH(diff=-4125)
03:10:21 Pair [10♥, 8♥, 8♦, 7♠, 6♥] scoring=[8♥, 8♦](2) | base: 55/5 | pre-joker: 71/5.0 | jokers: [Sly Joker(+50c), Green Joker(x6.20), Jolly Joker(x1.26), Supernova(x1.62)] | final: 121/63.0 | enhs=[] seals=[] eds=[] | blind=The Psychic ante=5 hands_left=2 | est=7623 actual=30492 MISMATCH(diff=+22869)
04:51:18 Straight [6♥, 5♠, 4♦, 3♦, 2♣] scoring=[6♥, 5♠, 4♦, 3♦](4) | base: 30/4 | pre-joker: 48/4.0 | jokers: [none] | final: 48/4.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=2 hands_left=4 | est=192 actual=350 MISMATCH(diff=+158)
08:14:18 High Card [K♣, 7♣, 2♠] scoring=[K♣](1) | base: 15/2 | pre-joker: 25/6.0 | jokers: [Green Joker(x8.83), Half Joker(x1.38), Blackboard(x1.50), Loyalty Card(x1.50), Flower Pot(x1.50)] | final: 25/246.4 | enhs=[GLASS] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=4 | est=6159 actual=1825 MISMATCH(diff=-4334)
08:14:19 Pair [J♠, J♦, 10♦, 4♥, 2♥] scoring=[J♠, J♦](2) | base: 55/5 | pre-joker: 75/7.5 | jokers: [Green Joker(x7.40), Blackboard(x4.50), Loyalty Card(x6.00)] | final: 75/1498.5 | enhs=[STEEL] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=3 | est=112387 actual=168581 MISMATCH(diff=+56194)
09:40:34 Straight [6♥, 5♥, 4♦, 3♠, 2♦] scoring=[6♥, 5♥, 4♦, 3♠](4) | base: 60/7 | pre-joker: 78/10.5 | jokers: [Mystic Summit(x2.43), Ramen(x1.32)] | final: 78/33.7 | enhs=[GOLD] seals=[] eds=[] | blind=Small Blind ante=6 hands_left=2 | est=2625 actual=2692 MISMATCH(diff=+67)
09:45:04 Straight [7♦, 6♠, 5♠, 4♦, 3♠] scoring=[7♦, 6♠, 5♠, 4♦](4) | base: 150/16 | pre-joker: 172/16.0 | jokers: [The Order(x3.00), Campfire(x1.25)] | final: 172/60.0 | enhs=[] seals=[] eds=[] | blind=The House ante=5 hands_left=4 | est=10320 actual=10500 MISMATCH(diff=+180)
10:04:29 Two Pair [A♣, A♦, Q♥, Q♦, 2♠] scoring=[A♣, A♦, Q♥, Q♦, 2♠](5) | base: 20/2 | pre-joker: 64/3.0 | jokers: [Ramen(x1.96), Vampire(x3.24)] | final: 64/19.1 | enhs=[STONE] seals=[] eds=[] | blind=Big Blind ante=4 hands_left=1 | est=1219 actual=3658 MISMATCH(diff=+2439)
11:06:15 Straight [8♠, 7♥, 6♥, 5♦, 4♥] scoring=[8♠, 7♥, 6♥, 5♦](4) | base: 180/19 | pre-joker: 206/19.0 | jokers: [Runner(+225c), Acrobat(x3.00), Blackboard(x3.00), The Order(x3.00)] | final: 431/513.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=6 hands_left=1 | est=221103 actual=223155 MISMATCH(diff=+2052)
11:06:25 Straight [7♠, 6♠, 5♠, 4♣, 3♥] scoring=[7♠, 6♠, 5♠, 4♣](4) | base: 180/19 | pre-joker: 202/19.0 | jokers: [Runner(+240c), Blackboard(x3.00), The Order(x3.00)] | final: 442/171.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=6 hands_left=2 | est=75582 actual=76095 MISMATCH(diff=+513)
13:00:08 Straight [10♣, 9♣, 8♠, 7♠, 6♦] scoring=[10♣, 9♣, 8♠, 7♠](4) | base: 30/4 | pre-joker: 64/4.0 | jokers: [Mystic Summit(x4.75)] | final: 64/19.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=2 hands_left=2 | est=1216 actual=1330 MISMATCH(diff=+114)
14:51:12 Straight Flush [A♦, K♦, Q♦, J♦, 10♦] scoring=[A♦, K♦, Q♦, J♦, 10♦](5) | base: 100/8 | pre-joker: 151/8.0 | jokers: [Abstract Joker(x2.88), Loyalty Card(x4.00), Acrobat(x3.00)] | final: 151/276.0 | enhs=[WILD] seals=[] eds=[] | blind=The Psychic ante=2 hands_left=1 | est=41676 actual=10419 MISMATCH(diff=-31257)
16:52:15 Pair [7♥, 6♦, 3♥, 2♠, 2♣] scoring=[2♠, 2♣](2) | base: 10/2 | pre-joker: 53/2.0 | jokers: [Wee Joker(+48c), Loyalty Card(x4.00)] | final: 101/8.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=3 hands_left=2 | est=808 actual=936 MISMATCH(diff=+128)
17:11:34 Straight [A♣, K♥, Q♠, J♠, 10♥] scoring=[A♣, K♥, Q♠, J♠, 10♥](5) | base: 30/4 | pre-joker: 171/4.0 | jokers: [Bull(+14c)] | final: 185/4.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=2 hands_left=3 | est=740 actual=772 MISMATCH(diff=+32)
17:11:54 Flush [A♥, J♥, 7♥, 5♥, 3♥] scoring=[A♥, J♥, 7♥, 5♥, 3♥](5) | base: 35/4 | pre-joker: 101/4.0 | jokers: [Bull(+32c)] | final: 133/4.0 | enhs=[] seals=[] eds=[] | blind=The Manacle ante=2 hands_left=3 | est=532 actual=564 MISMATCH(diff=+32)
00:12:37 Two Pair [A♠, A♣, 7♦, 3♣, 3♦] scoring=[A♠, A♣, 3♣, 3♦](4) | base: 40/3 | pre-joker: 68/26.0 | jokers: [Bull(+58c)] | final: 126/26.0 | enhs=[] seals=[] eds=[] | blind=The Head ante=2 hands_left=4 | est=3276 actual=756 MISMATCH(diff=-2520)
00:12:38 High Card [J♠, 9♠, 5♣, 4♦, 2♠] scoring=[J♠](1) | base: 5/1 | pre-joker: 45/21.0 | jokers: [Bull(+58c)] | final: 103/21.0 | enhs=[] seals=[] eds=[] | blind=The Head ante=2 hands_left=3 | est=2163 actual=103 MISMATCH(diff=-2060)
00:12:38 High Card [J♦, 8♦, 6♦, 5♥, 3♥] scoring=[J♦](1) | base: 5/1 | pre-joker: 45/24.0 | jokers: [Bull(+58c)] | final: 103/24.0 | enhs=[] seals=[] eds=[] | blind=The Head ante=2 hands_left=2 | est=2472 actual=412 MISMATCH(diff=-2060)
00:14:10 Flush [K♠, 10♠, 6♠, 6♠, 3♠] scoring=[K♠, 10♠, 6♠, 6♠, 3♠](5) | base: 65/8 | pre-joker: 130/38.0 | jokers: [Bull(+86c)] | final: 216/38.0 | enhs=[GLASS] seals=[] eds=[] | blind=The Club ante=4 hands_left=3 | est=8208 actual=3456 MISMATCH(diff=-4752)
04:17:30 Three of a Kind [9♠, 5♠, 2♥, 2♣, 2♦] scoring=[2♥, 2♣, 2♦](3) | base: 50/5 | pre-joker: 56/5.0 | jokers: [Spare Trousers(x11.80)] | final: 56/59.0 | enhs=[GOLD] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=3 | est=3304 actual=13216 MISMATCH(diff=+9912)
10:24:34 Two Pair [J♣, J♦, 10♥, 10♣, 2♠] scoring=[J♣, J♦, 10♥, 10♣](4) | base: 160/9 | pre-joker: 200/13.0 | jokers: [Joker Stencil(x5.31), Card Sharp(x4.50), Baseball Card(x1.03)] | final: 200/320.5 | enhs=[MULT] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=2 | est=64100 actual=95150 MISMATCH(diff=+31050)
13:42:27 High Card [Q♣, 6♠, 4♠, 3♠, 2♠] scoring=[Q♣](1) | base: 5/1 | pre-joker: 15/1.0 | jokers: [Green Joker(x27.00), Droll Joker(+50c), Blackboard(x3.00)] | final: 65/81.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=5 hands_left=3 | est=5265 actual=18480 MISMATCH(diff=+13215)
13:42:44 High Card [A♣, K♠, Q♣, 4♠, 3♠] scoring=[A♣](1) | base: 5/1 | pre-joker: 16/1.0 | jokers: [Green Joker(x31.00), Droll Joker(+50c)] | final: 66/31.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=6 hands_left=3 | est=2046 actual=7344 MISMATCH(diff=+5298)
